"director","score"
"Barry Levinson",4.8
"Barry Levinson",5.1
"Barry Levinson",5.3
"Barry Levinson",5.5
"Barry Levinson",5.6
"Barry Levinson",6.1
"Barry Levinson",6.1
"Barry Levinson",6.5
"Barry Levinson",6.6
"Barry Levinson",6.8
"Barry Levinson",6.8
"Barry Levinson",7.1
"Barry Levinson",7.1
"Barry Levinson",7.2
"Barry Levinson",7.3
"Barry Levinson",7.5
"Barry Levinson",7.6
"Barry Levinson",8
"Brian De Palma",5.3
"Brian De Palma",5.6
"Brian De Palma",5.6
"Brian De Palma",5.7
"Brian De Palma",5.7
"Brian De Palma",6
"Brian De Palma",6.1
"Brian De Palma",6.1
"Brian De Palma",6.2
"Brian De Palma",6.8
"Brian De Palma",7.1
"Brian De Palma",7.1
"Brian De Palma",7.1
"Brian De Palma",7.4
"Brian De Palma",7.9
"Brian De Palma",7.9
"Brian De Palma",8.3
"Clint Eastwood",5.3
"Clint Eastwood",5.9
"Clint Eastwood",6
"Clint Eastwood",6.1
"Clint Eastwood",6.4
"Clint Eastwood",6.4
"Clint Eastwood",6.4
"Clint Eastwood",6.5
"Clint Eastwood",6.6
"Clint Eastwood",6.6
"Clint Eastwood",6.6
"Clint Eastwood",6.6
"Clint Eastwood",6.6
"Clint Eastwood",6.7
"Clint Eastwood",6.8
"Clint Eastwood",6.9
"Clint Eastwood",7
"Clint Eastwood",7.1
"Clint Eastwood",7.2
"Clint Eastwood",7.3
"Clint Eastwood",7.3
"Clint Eastwood",7.3
"Clint Eastwood",7.4
"Clint Eastwood",7.5
"Clint Eastwood",7.6
"Clint Eastwood",7.7
"Clint Eastwood",7.9
"Clint Eastwood",7.9
"Clint Eastwood",8.1
"Clint Eastwood",8.1
"Clint Eastwood",8.2
"Directors",4.3
"Directors",6.1
"Directors",6.2
"Directors",6.2
"Directors",6.5
"Directors",6.8
"Directors",6.8
"Directors",6.8
"Directors",7.2
"Directors",7.2
"Directors",7.2
"Directors",7.3
"Directors",7.3
"Directors",7.5
"Directors",7.6
"Directors",7.8
"Garry Marshall",4.3
"Garry Marshall",5.4
"Garry Marshall",5.6
"Garry Marshall",5.7
"Garry Marshall",5.7
"Garry Marshall",5.7
"Garry Marshall",5.8
"Garry Marshall",5.8
"Garry Marshall",6
"Garry Marshall",6.4
"Garry Marshall",6.5
"Garry Marshall",6.7
"Garry Marshall",6.9
"Garry Marshall",6.9
"Garry Marshall",7
"Joel Schumacher",3.8
"Joel Schumacher",5.3
"Joel Schumacher",5.4
"Joel Schumacher",5.5
"Joel Schumacher",5.6
"Joel Schumacher",5.6
"Joel Schumacher",6.1
"Joel Schumacher",6.3
"Joel Schumacher",6.4
"Joel Schumacher",6.4
"Joel Schumacher",6.5
"Joel Schumacher",6.5
"Joel Schumacher",6.6
"Joel Schumacher",6.7
"Joel Schumacher",6.9
"Joel Schumacher",7
"Joel Schumacher",7
"Joel Schumacher",7.2
"Joel Schumacher",7.5
"Joel Schumacher",7.6
"Martin Scorsese",6.8
"Martin Scorsese",7
"Martin Scorsese",7
"Martin Scorsese",7.2
"Martin Scorsese",7.2
"Martin Scorsese",7.3
"Martin Scorsese",7.5
"Martin Scorsese",7.5
"Martin Scorsese",7.5
"Martin Scorsese",7.5
"Martin Scorsese",7.7
"Martin Scorsese",7.8
"Martin Scorsese",7.8
"Martin Scorsese",8.2
"Martin Scorsese",8.2
"Martin Scorsese",8.2
"Martin Scorsese",8.2
"Martin Scorsese",8.5
"Martin Scorsese",8.7
"Misc",1.9
"Misc",1.9
"Misc",2.1
"Misc",2.1
"Misc",2.2
"Misc",2.2
"Misc",2.2
"Misc",2.3
"Misc",2.4
"Misc",2.4
"Misc",2.5
"Misc",2.5
"Misc",2.5
"Misc",2.5
"Misc",2.6
"Misc",2.7
"Misc",2.7
"Misc",2.7
"Misc",2.8
"Misc",2.8
"Misc",2.9
"Misc",2.9
"Misc",2.9
"Misc",3
"Misc",3
"Misc",3
"Misc",3
"Misc",3.1
"Misc",3.1
"Misc",3.1
"Misc",3.2
"Misc",3.2
"Misc",3.2
"Misc",3.2
"Misc",3.2
"Misc",3.3
"Misc",3.3
"Misc",3.3
"Misc",3.3
"Misc",3.4
"Misc",3.4
"Misc",3.4
"Misc",3.4
"Misc",3.4
"Misc",3.4
"Misc",3.4
"Misc",3.4
"Misc",3.5
"Misc",3.5
"Misc",3.5
"Misc",3.5
"Misc",3.5
"Misc",3.5
"Misc",3.6
"Misc",3.6
"Misc",3.6
"Misc",3.6
"Misc",3.7
"Misc",3.7
"Misc",3.7
"Misc",3.7
"Misc",3.7
"Misc",3.7
"Misc",3.7
"Misc",3.7
"Misc",3.7
"Misc",3.7
"Misc",3.7
"Misc",3.7
"Misc",3.7
"Misc",3.7
"Misc",3.7
"Misc",3.8
"Misc",3.8
"Misc",3.8
"Misc",3.8
"Misc",3.8
"Misc",3.8
"Misc",3.8
"Misc",3.8
"Misc",3.8
"Misc",3.8
"Misc",3.8
"Misc",3.8
"Misc",3.9
"Misc",3.9
"Misc",3.9
"Misc",3.9
"Misc",3.9
"Misc",3.9
"Misc",3.9
"Misc",3.9
"Misc",3.9
"Misc",3.9
"Misc",3.9
"Misc",4
"Misc",4
"Misc",4
"Misc",4
"Misc",4
"Misc",4
"Misc",4
"Misc",4
"Misc",4
"Misc",4
"Misc",4
"Misc",4
"Misc",4
"Misc",4.1
"Misc",4.1
"Misc",4.1
"Misc",4.1
"Misc",4.1
"Misc",4.1
"Misc",4.1
"Misc",4.1
"Misc",4.1
"Misc",4.1
"Misc",4.1
"Misc",4.1
"Misc",4.2
"Misc",4.2
"Misc",4.2
"Misc",4.2
"Misc",4.2
"Misc",4.2
"Misc",4.2
"Misc",4.2
"Misc",4.2
"Misc",4.2
"Misc",4.2
"Misc",4.2
"Misc",4.2
"Misc",4.2
"Misc",4.2
"Misc",4.2
"Misc",4.3
"Misc",4.3
"Misc",4.3
"Misc",4.3
"Misc",4.3
"Misc",4.3
"Misc",4.3
"Misc",4.3
"Misc",4.3
"Misc",4.3
"Misc",4.3
"Misc",4.3
"Misc",4.3
"Misc",4.3
"Misc",4.3
"Misc",4.3
"Misc",4.3
"Misc",4.3
"Misc",4.3
"Misc",4.4
"Misc",4.4
"Misc",4.4
"Misc",4.4
"Misc",4.4
"Misc",4.4
"Misc",4.4
"Misc",4.4
"Misc",4.4
"Misc",4.4
"Misc",4.4
"Misc",4.4
"Misc",4.4
"Misc",4.4
"Misc",4.4
"Misc",4.4
"Misc",4.4
"Misc",4.4
"Misc",4.4
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.5
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.6
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.7
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.8
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",4.9
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.1
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.2
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.3
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.4
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.5
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.6
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
"Misc",5.7
